"pubid","year","interestgov","regvote","didvote"
59,2004,1,NA,1
59,2006,3,1,NA
59,2008,1,1,NA
59,2010,1,NA,1
60,2004,2,NA,1
60,2006,2,NA,0
60,2008,1,1,NA
60,2010,2,NA,1
61,2004,4,NA,1
61,2006,4,1,0
61,2008,3,NA,1
61,2010,4,1,NA
62,2004,1,NA,1
62,2006,1,1,0
62,2008,1,1,NA
62,2010,1,NA,1
63,2004,2,NA,1
63,2006,3,1,0
63,2008,2,NA,1
63,2010,4,1,0
64,2004,3,1,0
64,2006,4,1,0
64,2008,4,1,0
64,2010,NA,NA,NA
65,2004,3,0,0
65,2006,2,0,0
65,2008,2,NA,1
65,2010,2,NA,1
66,2004,2,1,0
66,2006,NA,NA,NA
66,2008,2,NA,1
66,2010,NA,NA,NA
67,2004,3,0,0
67,2006,2,NA,1
67,2008,3,NA,1
67,2010,3,0,0
68,2004,3,1,0
68,2006,1,0,NA
68,2008,1,NA,1
68,2010,1,NA,1
69,2004,2,NA,1
69,2006,2,NA,1
69,2008,2,NA,1
69,2010,3,1,0
70,2004,2,1,0
70,2006,2,1,0
70,2008,2,NA,1
70,2010,2,NA,1
71,2004,3,0,0
71,2006,3,1,0
71,2008,4,0,0
71,2010,2,0,0
72,2004,2,NA,1
72,2006,3,1,NA
72,2008,NA,NA,NA
72,2010,NA,NA,NA
73,2004,2,NA,0
73,2006,2,0,NA
73,2008,NA,NA,NA
73,2010,NA,NA,NA
74,2004,NA,NA,NA
74,2006,1,NA,1
74,2008,1,NA,1
74,2010,1,NA,1
75,2004,2,0,0
75,2006,4,1,0
75,2008,2,0,0
75,2010,4,0,0
76,2004,2,0,0
76,2006,4,1,0
76,2008,4,0,0
76,2010,3,0,0
77,2004,2,1,0
77,2006,4,0,0
77,2008,3,NA,1
77,2010,NA,NA,NA
78,2004,2,NA,1
78,2006,2,1,NA
78,2008,2,1,NA
78,2010,3,1,0
79,2004,3,0,0
79,2006,4,0,NA
79,2008,2,NA,0
79,2010,4,1,0
80,2004,4,NA,1
80,2006,4,1,NA
80,2008,2,1,NA
80,2010,4,NA,1
81,2004,2,NA,1
81,2006,4,1,0
81,2008,4,1,NA
81,2010,3,NA,1
82,2004,NA,NA,NA
82,2006,4,0,0
82,2008,2,NA,1
82,2010,3,1,0
83,2004,4,0,0
83,2006,4,0,0
83,2008,1,1,NA
83,2010,4,NA,1
84,2004,NA,NA,NA
84,2006,NA,NA,NA
84,2008,3,0,NA
84,2010,2,1,0
85,2004,2,0,0
85,2006,2,0,NA
85,2008,1,1,NA
85,2010,2,1,0
86,2004,1,NA,1
86,2006,4,1,NA
86,2008,4,1,NA
86,2010,3,1,0
87,2004,2,1,0
87,2006,4,1,0
87,2008,2,1,0
87,2010,NA,NA,NA
88,2004,NA,NA,NA
88,2006,NA,NA,NA
88,2008,NA,NA,NA
88,2010,NA,NA,NA
89,2004,1,NA,1
89,2006,1,1,NA
89,2008,1,1,NA
89,2010,1,1,NA
90,2004,4,1,0
90,2006,2,1,NA
