"pubid","year","interestgov","regvote","didvote"
2349,2010,1,1,NA
2350,2004,2,NA,1
2350,2006,3,1,0
2350,2008,NA,NA,NA
2350,2010,4,NA,1
2351,2004,2,1,0
2351,2006,NA,NA,NA
2351,2008,NA,NA,NA
2351,2010,NA,NA,NA
2352,2004,2,1,0
2352,2006,3,1,0
2352,2008,1,1,NA
2352,2010,1,NA,0
2353,2004,4,0,0
2353,2006,3,0,0
2353,2008,2,1,NA
2353,2010,4,1,0
2354,2004,4,0,0
2354,2006,4,1,0
2354,2008,NA,NA,NA
2354,2010,NA,NA,NA
2355,2004,3,0,0
2355,2006,4,1,0
2355,2008,3,1,NA
2355,2010,4,1,NA
2356,2004,2,NA,1
2356,2006,2,1,0
2356,2008,2,1,NA
2356,2010,2,1,0
2357,2004,2,1,0
2357,2006,2,1,0
2357,2008,1,0,NA
2357,2010,4,0,0
2358,2004,1,1,0
2358,2006,4,1,0
2358,2008,2,1,NA
2358,2010,3,1,0
2359,2004,1,1,0
2359,2006,2,0,0
2359,2008,1,1,NA
2359,2010,2,1,NA
2360,2004,NA,NA,NA
2360,2006,NA,NA,NA
2360,2008,NA,NA,NA
2360,2010,NA,NA,NA
2361,2004,3,NA,1
2361,2006,4,1,0
2361,2008,3,NA,1
2361,2010,3,1,0
2362,2004,2,1,0
2362,2006,2,1,0
2362,2008,2,1,NA
2362,2010,4,1,0
2363,2004,4,0,0
2363,2006,NA,NA,NA
2363,2008,4,0,0
2363,2010,3,0,0
2364,2004,NA,NA,NA
2364,2006,NA,NA,NA
2364,2008,NA,NA,NA
2364,2010,NA,NA,NA
2365,2004,2,NA,1
2365,2006,1,1,NA
2365,2008,2,1,NA
2365,2010,4,1,0
2366,2004,2,0,0
2366,2006,2,1,0
2366,2008,NA,NA,NA
2366,2010,2,NA,1
2367,2004,2,NA,1
2367,2006,4,1,NA
2367,2008,1,0,NA
2367,2010,1,NA,1
2368,2004,2,0,0
2368,2006,1,0,NA
2368,2008,1,1,NA
2368,2010,1,NA,1
2369,2004,1,0,0
2369,2006,2,1,0
2369,2008,NA,NA,NA
2369,2010,NA,NA,NA
2370,2004,2,NA,1
2370,2006,4,1,0
2370,2008,2,NA,1
2370,2010,2,1,0
2371,2004,4,NA,0
2371,2006,1,NA,0
2371,2008,2,0,NA
2371,2010,4,1,0
2372,2004,2,1,0
2372,2006,2,0,0
2372,2008,2,1,NA
2372,2010,2,0,0
2373,2004,1,1,0
2373,2006,1,1,NA
2373,2008,1,1,NA
2373,2010,1,1,NA
2374,2004,3,1,0
2374,2006,3,1,0
2374,2008,3,1,NA
2374,2010,3,1,0
2375,2004,2,1,0
2375,2006,2,1,0
2375,2008,1,1,NA
2375,2010,2,NA,1
2376,2004,2,0,0
2376,2006,4,0,0
2376,2008,NA,NA,NA
2376,2010,NA,NA,NA
2377,2004,2,NA,1
2377,2006,1,1,0
2377,2008,1,NA,1
2377,2010,1,NA,1
2378,2004,2,0,0
2378,2006,3,0,NA
2378,2008,3,NA,1
2378,2010,NA,NA,NA
2379,2004,2,NA,1
2379,2006,1,1,NA
2379,2008,1,1,NA
2379,2010,3,1,0
2380,2004,2,1,0
2380,2006,2,1,0
2380,2008,2,NA,1
2380,2010,3,1,0
2381,2004,3,1,0
2381,2006,3,0,0
2381,2008,NA,NA,NA
2381,2010,4,1,0
2382,2004,3,1,0
2382,2006,3,0,0
2382,2008,2,NA,1
2382,2010,3,NA,1
2383,2004,1,NA,1
2383,2006,2,NA,1
2383,2008,2,NA,1
2383,2010,2,1,NA
2384,2004,3,0,0
2384,2006,2,1,NA
2384,2008,2,0,0
2384,2010,4,0,NA
2385,2004,1,NA,1
2385,2006,1,1,0
2385,2008,1,NA,1
2385,2010,1,1,0
2386,2004,4,0,0
2386,2006,4,0,NA
2386,2008,3,0,NA
2386,2010,4,0,0
2387,2004,3,0,0
2387,2006,3,0,0
2387,2008,3,0,NA
2387,2010,4,0,0
2388,2004,4,0,0
2388,2006,2,0,0
2388,2008,4,0,NA
2388,2010,3,0,0
2389,2004,3,NA,1
2389,2006,4,0,0
2389,2008,3,NA,1
2389,2010,3,NA,1
2390,2004,2,0,0
2390,2006,2,1,NA
2390,2008,2,0,0
2390,2010,2,1,0
2391,2004,2,NA,1
2391,2006,2,1,NA
2391,2008,2,NA,1
2391,2010,3,1,0
2392,2004,1,NA,1
2392,2006,1,NA,1
2392,2008,1,1,NA
2392,2010,1,1,0
2393,2004,3,NA,1
2393,2006,3,NA,1
2393,2008,2,1,NA
2393,2010,4,NA,1
2394,2004,2,NA,1
2394,2006,2,1,NA
2394,2008,2,NA,1
2394,2010,2,NA,1
2395,2004,2,1,0
2395,2006,1,NA,1
2395,2008,3,0,NA
2395,2010,3,1,NA
2396,2004,1,NA,1
2396,2006,1,NA,1
2396,2008,1,0,NA
2396,2010,2,0,0
2397,2004,2,NA,1
2397,2006,3,NA,1
2397,2008,1,NA,1
2397,2010,2,0,0
2398,2004,2,1,0
2398,2006,2,1,0
2398,2008,2,1,NA
2398,2010,2,0,0
2399,2004,3,1,0
2399,2006,3,1,NA
2399,2008,4,1,NA
2399,2010,4,NA,1
2400,2004,3,0,0
2400,2006,3,NA,0
2400,2008,2,1,NA
2400,2010,3,1,0
2401,2004,2,1,0
2401,2006,4,0,0
2401,2008,3,0,0
2401,2010,NA,NA,NA
2402,2004,1,NA,1
2402,2006,NA,NA,NA
2402,2008,NA,NA,NA
2402,2010,1,NA,1
2403,2004,4,1,0
2403,2006,3,1,0
2403,2008,NA,NA,NA
2403,2010,NA,NA,NA
2404,2004,NA,NA,NA
2404,2006,4,0,0
2404,2008,4,0,NA
2404,2010,4,0,0
2405,2004,NA,NA,NA
2405,2006,NA,NA,NA
2405,2008,NA,NA,NA
2405,2010,NA,NA,NA
2406,2004,2,NA,1
2406,2006,3,NA,1
2406,2008,3,0,0
2406,2010,4,1,0
2407,2004,2,0,0
2407,2006,4,0,0
2407,2008,1,NA,1
2407,2010,3,NA,1
2408,2004,2,0,0
2408,2006,2,0,0
2408,2008,2,0,0
2408,2010,3,0,NA
2409,2004,NA,NA,NA
2409,2006,NA,NA,NA
2409,2008,NA,NA,NA
2409,2010,NA,NA,NA
2410,2004,NA,NA,NA
2410,2006,NA,NA,NA
2410,2008,NA,NA,NA
2410,2010,NA,NA,NA
2411,2004,2,NA,1
2411,2006,4,1,0
2411,2008,1,1,NA
2411,2010,2,1,NA
2412,2004,NA,NA,NA
2412,2006,NA,NA,NA
2412,2008,NA,NA,NA
2412,2010,NA,NA,NA
2413,2004,1,NA,1
2413,2006,1,NA,1
2413,2008,NA,NA,NA
2413,2010,NA,NA,NA
2414,2004,3,1,0
2414,2006,3,1,0
2414,2008,1,1,NA
2414,2010,3,NA,1
2415,2004,NA,NA,NA
2415,2006,3,NA,0
2415,2008,NA,NA,NA
2415,2010,3,0,0
2416,2004,2,NA,1
2416,2006,3,NA,1
2416,2008,3,1,NA
2416,2010,2,1,NA
2417,2004,1,NA,1
2417,2006,2,1,0
2417,2008,2,NA,1
2417,2010,2,1,NA
2418,2004,NA,NA,NA
2418,2006,NA,NA,NA
2418,2008,NA,NA,NA
2418,2010,NA,NA,NA
2419,2004,NA,NA,NA
2419,2006,NA,NA,NA
2419,2008,1,NA,1
2419,2010,1,NA,1
2420,2004,4,0,0
2420,2006,4,0,0
2420,2008,4,1,0
2420,2010,4,1,NA
2421,2004,NA,NA,NA
2421,2006,NA,NA,NA
2421,2008,NA,NA,NA
2421,2010,NA,NA,NA
2422,2004,NA,NA,NA
2422,2006,NA,NA,NA
2422,2008,NA,NA,NA
2422,2010,NA,NA,NA
2423,2004,NA,NA,NA
2423,2006,1,NA,1
2423,2008,2,NA,1
2423,2010,2,NA,1
2424,2004,4,0,0
2424,2006,4,0,NA
2424,2008,4,0,NA
2424,2010,4,0,NA
2425,2004,NA,NA,NA
2425,2006,NA,NA,NA
2425,2008,NA,NA,NA
2425,2010,NA,NA,NA
2426,2004,NA,NA,NA
2426,2006,NA,NA,NA
2426,2008,NA,NA,NA
2426,2010,NA,NA,NA
2427,2004,3,1,0
2427,2006,4,1,NA
2427,2008,4,1,NA
2427,2010,4,1,0
2428,2004,3,1,0
2428,2006,3,1,0
2428,2008,4,NA,1
2428,2010,4,1,0
2429,2004,3,NA,1
2429,2006,NA,NA,NA
2429,2008,NA,NA,NA
2429,2010,NA,NA,NA
2430,2004,NA,NA,NA
2430,2006,4,1,NA
2430,2008,4,0,0
2430,2010,4,1,0
2431,2004,2,NA,1
2431,2006,2,1,NA
2431,2008,2,1,NA
2431,2010,4,1,NA
2432,2004,1,NA,1
2432,2006,1,1,NA
2432,2008,2,1,NA
2432,2010,1,1,NA
2433,2004,NA,NA,NA
2433,2006,NA,NA,NA
2433,2008,NA,NA,NA
2433,2010,NA,NA,NA
2434,2004,NA,NA,NA
2434,2006,3,1,0
2434,2008,NA,NA,NA
2434,2010,NA,NA,NA
2435,2004,2,0,0
2435,2006,3,0,NA
2435,2008,2,0,0
2435,2010,2,1,NA
2436,2004,3,NA,1
2436,2006,3,1,0
2436,2008,2,1,NA
2436,2010,3,NA,1
2437,2004,3,NA,1
2437,2006,3,NA,1
2437,2008,2,1,NA
2437,2010,1,0,NA
2438,2004,1,NA,1
2438,2006,1,NA,1
2438,2008,1,1,NA
2438,2010,2,NA,1
2439,2004,3,0,0
2439,2006,2,0,0
2439,2008,4,0,NA
2439,2010,4,1,0
2440,2004,NA,NA,NA
2440,2006,3,1,0
2440,2008,3,NA,1
2440,2010,3,NA,1
2441,2004,NA,NA,NA
2441,2006,NA,NA,NA
2441,2008,4,NA,1
2441,2010,NA,NA,NA
2442,2004,3,1,0
2442,2006,4,0,0
2442,2008,3,NA,1
2442,2010,4,1,0
2443,2004,3,NA,1
2443,2006,4,NA,1
2443,2008,3,1,0
2443,2010,2,1,0
2444,2004,1,NA,1
2444,2006,1,NA,1
2444,2008,1,NA,1
2444,2010,1,1,NA
2445,2004,3,NA,1
2445,2006,3,1,0
2445,2008,3,1,NA
2445,2010,2,1,NA
2446,2004,NA,NA,NA
2446,2006,NA,NA,NA
2446,2008,NA,NA,NA
2446,2010,NA,NA,NA
2447,2004,NA,NA,NA
2447,2006,NA,NA,NA
2447,2008,NA,NA,NA
2447,2010,NA,NA,NA
2448,2004,2,0,0
2448,2006,NA,NA,NA
2448,2008,NA,NA,NA
2448,2010,2,1,0
2449,2004,3,0,0
2449,2006,3,1,0
2449,2008,2,1,NA
2449,2010,4,0,NA
2450,2004,4,NA,0
2450,2006,3,1,0
2450,2008,3,0,NA
2450,2010,3,0,NA
2451,2004,2,1,0
2451,2006,3,1,0
2451,2008,3,1,NA
2451,2010,3,1,NA
2452,2004,NA,NA,NA
2452,2006,4,0,0
2452,2008,4,0,0
2452,2010,4,0,NA
2453,2004,4,0,0
2453,2006,4,0,0
2453,2008,2,0,NA
2453,2010,3,0,NA
2454,2004,4,1,0
2454,2006,4,0,0
2454,2008,4,0,NA
2454,2010,3,1,NA
2455,2004,1,NA,1
2455,2006,NA,NA,NA
2455,2008,1,NA,0
2455,2010,NA,NA,NA
2456,2004,NA,NA,NA
2456,2006,2,1,0
2456,2008,NA,NA,NA
2456,2010,2,1,0
2457,2004,NA,NA,NA
2457,2006,NA,NA,NA
2457,2008,NA,NA,NA
2457,2010,NA,NA,NA
2458,2004,1,NA,1
2458,2006,1,NA,1
2458,2008,1,1,NA
2458,2010,1,NA,1
2459,2004,2,NA,1
2459,2006,3,NA,1
2459,2008,1,1,0
2459,2010,3,1,NA
2460,2004,3,NA,1
2460,2006,3,NA,1
2460,2008,2,NA,1
2460,2010,4,1,NA
2461,2004,3,NA,1
2461,2006,1,1,NA
2461,2008,2,NA,1
2461,2010,NA,NA,NA
2462,2004,4,NA,1
2462,2006,3,1,0
2462,2008,4,1,0
2462,2010,4,1,0
2463,2004,2,NA,1
2463,2006,2,1,0
2463,2008,1,1,NA
2463,2010,2,1,NA
2464,2004,NA,NA,NA
2464,2006,1,0,0
2464,2008,1,NA,1
2464,2010,NA,NA,NA
2465,2004,2,NA,1
2465,2006,NA,NA,NA
2465,2008,NA,NA,NA
2465,2010,NA,NA,NA
2466,2004,3,NA,1
2466,2006,4,1,0
2466,2008,3,1,NA
2466,2010,4,NA,1
2467,2004,NA,NA,NA
2467,2006,NA,NA,NA
2467,2008,NA,NA,NA
2467,2010,NA,NA,NA
2468,2004,NA,NA,NA
2468,2006,NA,NA,NA
2468,2008,NA,NA,NA
2468,2010,NA,NA,NA
2469,2004,2,NA,1
2469,2006,2,1,0
2469,2008,2,1,NA
2469,2010,2,NA,1
2470,2004,2,NA,1
2470,2006,4,0,0
2470,2008,4,0,0
2470,2010,4,0,NA
2471,2004,2,0,0
2471,2006,2,0,0
2471,2008,1,0,0
2471,2010,2,1,NA
2472,2004,2,NA,1
2472,2006,2,NA,1
2472,2008,2,1,NA
2472,2010,2,1,NA
2473,2004,1,NA,1
2473,2006,2,NA,1
2473,2008,1,1,NA
2473,2010,3,1,NA
2474,2004,2,NA,1
2474,2006,2,NA,1
2474,2008,2,1,NA
2474,2010,1,1,0
2475,2004,3,NA,1
2475,2006,NA,NA,NA
2475,2008,NA,NA,NA
2475,2010,NA,NA,NA
2476,2004,2,NA,1
2476,2006,2,1,NA
2476,2008,1,1,NA
2476,2010,2,NA,1
2477,2004,1,NA,1
2477,2006,1,NA,1
2477,2008,1,1,0
2477,2010,1,NA,1
2478,2004,2,NA,1
2478,2006,3,NA,1
2478,2008,3,NA,1
2478,2010,4,1,NA
2479,2004,2,1,0
2479,2006,2,0,0
2479,2008,4,1,NA
2479,2010,4,0,0
2480,2004,4,1,0
2480,2006,4,0,0
2480,2008,4,1,0
2480,2010,4,1,0
2481,2004,4,0,0
2481,2006,NA,NA,NA
2481,2008,4,1,0
2481,2010,NA,NA,NA
2482,2004,2,NA,1
2482,2006,NA,NA,NA
2482,2008,NA,NA,NA
2482,2010,NA,NA,NA
2483,2004,NA,NA,NA
2483,2006,4,0,0
2483,2008,NA,NA,NA
2483,2010,NA,NA,NA
2484,2004,1,NA,1
2484,2006,3,0,0
2484,2008,2,NA,1
2484,2010,2,1,0
2485,2004,1,0,0
2485,2006,NA,NA,NA
2485,2008,NA,NA,NA
2485,2010,2,1,0
2486,2004,NA,NA,NA
2486,2006,NA,NA,NA
2486,2008,NA,NA,NA
2486,2010,NA,NA,NA
2487,2004,1,NA,1
2487,2006,2,NA,1
2487,2008,1,NA,1
2487,2010,2,NA,1
2488,2004,2,NA,1
2488,2006,2,NA,1
2488,2008,2,NA,1
2488,2010,2,NA,1
2489,2004,1,NA,1
2489,2006,NA,NA,NA
2489,2008,NA,NA,NA
2489,2010,NA,NA,NA
2490,2004,4,NA,1
2490,2006,3,1,NA
2490,2008,4,NA,1
2490,2010,4,NA,1
2491,2004,3,1,0
2491,2006,4,0,0
2491,2008,4,1,NA
2491,2010,3,0,NA
2492,2004,1,NA,1
2492,2006,NA,NA,NA
2492,2008,2,NA,1
2492,2010,NA,NA,NA
2493,2004,1,NA,1
2493,2006,1,NA,1
2493,2008,1,1,NA
2493,2010,1,1,0
2494,2004,2,0,0
2494,2006,3,0,0
2494,2008,2,0,0
2494,2010,2,0,NA
2495,2004,1,NA,1
2495,2006,2,1,0
2495,2008,2,1,NA
2495,2010,2,1,NA
2496,2004,3,1,0
2496,2006,3,0,0
2496,2008,4,0,NA
2496,2010,4,1,NA
2497,2004,4,0,0
2497,2006,4,1,0
2497,2008,4,1,NA
2497,2010,4,NA,NA
2498,2004,1,NA,1
2498,2006,1,1,0
2498,2008,2,NA,1
2498,2010,2,NA,1
2499,2004,4,0,0
2499,2006,4,0,0
2499,2008,4,0,0
2499,2010,4,0,NA
2500,2004,3,0,0
2500,2006,4,0,0
2500,2008,4,1,NA
2500,2010,4,1,0
2501,2004,3,NA,1
2501,2006,2,NA,1
2501,2008,2,NA,1
2501,2010,2,1,NA
2502,2004,4,0,0
2502,2006,4,1,0
2502,2008,4,0,0
2502,2010,3,0,NA
2503,2004,4,0,0
2503,2006,4,0,0
2503,2008,3,1,NA
2503,2010,3,1,NA
2504,2004,2,1,0
2504,2006,3,0,0
2504,2008,2,0,0
2504,2010,3,NA,0
2505,2004,NA,NA,NA
2505,2006,2,1,0
2505,2008,2,1,NA
2505,2010,2,1,0
2506,2004,3,1,0
2506,2006,3,1,0
2506,2008,3,1,0
2506,2010,2,1,NA
2507,2004,3,0,0
2507,2006,2,0,0
2507,2008,3,NA,1
2507,2010,NA,NA,NA
2508,2004,NA,NA,NA
2508,2006,NA,NA,NA
2508,2008,NA,NA,NA
2508,2010,NA,NA,NA
2509,2004,4,0,0
2509,2006,4,0,NA
2509,2008,4,0,NA
2509,2010,4,0,NA
2510,2004,4,0,0
2510,2006,4,NA,0
2510,2008,3,0,NA
2510,2010,4,NA,1
2511,2004,NA,NA,NA
2511,2006,2,0,0
2511,2008,2,NA,1
2511,2010,2,NA,1
2512,2004,2,NA,1
2512,2006,2,1,NA
2512,2008,1,1,NA
2512,2010,1,1,NA
2513,2004,2,0,0
2513,2006,2,NA,0
2513,2008,2,0,0
2513,2010,3,NA,NA
2514,2004,NA,NA,NA
2514,2006,2,0,0
2514,2008,3,0,0
2514,2010,3,0,0
2515,2004,2,0,0
2515,2006,4,0,NA
2515,2008,4,0,NA
2515,2010,3,0,NA
2516,2004,1,NA,1
2516,2006,2,NA,1
2516,2008,1,NA,1
2516,2010,1,1,NA
2517,2004,2,0,0
2517,2006,4,NA,0
2517,2008,4,0,0
2517,2010,3,0,0
2518,2004,1,NA,1
2518,2006,2,1,0
2518,2008,NA,NA,NA
2518,2010,NA,NA,NA
2519,2004,1,NA,1
2519,2006,2,1,NA
2519,2008,2,1,NA
2519,2010,1,1,NA
2520,2004,2,NA,1
2520,2006,2,1,NA
2520,2008,2,1,0
2520,2010,2,NA,1
2521,2004,2,NA,1
2521,2006,2,1,0
2521,2008,2,1,NA
2521,2010,2,NA,1
2522,2004,4,0,0
2522,2006,2,0,0
2522,2008,NA,NA,NA
2522,2010,NA,NA,NA
2523,2004,NA,NA,NA
2523,2006,1,NA,1
2523,2008,NA,NA,NA
2523,2010,NA,NA,NA
2524,2004,1,NA,1
2524,2006,2,NA,1
2524,2008,1,NA,1
2524,2010,NA,NA,NA
2525,2004,2,NA,1
2525,2006,3,1,NA
2525,2008,2,NA,1
2525,2010,3,NA,1
2526,2004,3,0,0
2526,2006,4,0,NA
2526,2008,2,0,NA
2526,2010,3,1,0
2527,2004,2,0,0
2527,2006,2,0,NA
2527,2008,2,0,NA
2527,2010,3,0,NA
2528,2004,4,0,0
2528,2006,4,0,NA
2528,2008,3,0,NA
2528,2010,3,0,NA
2529,2004,3,1,0
2529,2006,3,NA,1
2529,2008,4,1,0
2529,2010,4,1,NA
2530,2004,2,0,0
2530,2006,4,0,0
2530,2008,4,0,0
2530,2010,4,0,NA
2531,2004,4,0,0
2531,2006,4,0,NA
2531,2008,4,0,0
2531,2010,4,0,NA
2532,2004,NA,NA,NA
2532,2006,4,0,0
2532,2008,4,0,0
2532,2010,4,0,0
2533,2004,4,0,0
2533,2006,4,0,0
2533,2008,2,0,NA
2533,2010,4,1,0
2534,2004,2,NA,1
2534,2006,1,1,NA
2534,2008,1,NA,1
2534,2010,1,NA,1
2535,2004,2,NA,1
2535,2006,2,1,NA
2535,2008,1,1,NA
2535,2010,3,1,NA
2536,2004,NA,NA,NA
2536,2006,NA,NA,NA
2536,2008,NA,NA,NA
2536,2010,NA,NA,NA
2537,2004,NA,NA,NA
2537,2006,NA,NA,NA
2537,2008,NA,NA,NA
2537,2010,NA,NA,NA
2538,2004,NA,NA,NA
2538,2006,NA,NA,NA
2538,2008,NA,NA,NA
2538,2010,1,NA,1
2539,2004,NA,NA,NA
2539,2006,1,NA,1
2539,2008,1,NA,1
2539,2010,NA,NA,NA
2540,2004,4,NA,1
2540,2006,3,NA,1
2540,2008,4,1,NA
2540,2010,4,1,0
2541,2004,3,NA,1
2541,2006,2,1,NA
2541,2008,3,1,NA
2541,2010,2,1,NA
2542,2004,1,NA,1
2542,2006,2,1,0
2542,2008,1,1,0
2542,2010,2,1,NA
2543,2004,NA,NA,NA
2543,2006,4,0,0
2543,2008,3,0,0
2543,2010,4,0,0
2544,2004,2,1,0
2544,2006,2,NA,1
2544,2008,2,1,NA
2544,2010,3,1,NA
2545,2004,1,1,0
2545,2006,1,1,0
2545,2008,1,1,NA
2545,2010,1,1,NA
2546,2004,NA,NA,NA
2546,2006,NA,NA,NA
2546,2008,2,1,NA
2546,2010,NA,NA,NA
2547,2004,NA,NA,NA
2547,2006,4,0,0
2547,2008,NA,NA,NA
2547,2010,NA,NA,NA
2548,2004,3,0,0
2548,2006,3,0,0
2548,2008,2,0,0
2548,2010,2,0,0
2549,2004,4,NA,1
2549,2006,4,NA,1
2549,2008,4,1,NA
2549,2010,4,NA,1
2550,2004,2,NA,1
2550,2006,4,1,NA
2550,2008,2,1,NA
2550,2010,4,1,NA
2551,2004,1,NA,1
2551,2006,1,1,0
2551,2008,1,NA,1
2551,2010,1,0,0
2552,2004,2,NA,1
2552,2006,2,1,NA
2552,2008,2,NA,1
2552,2010,2,1,NA
2553,2004,2,NA,1
2553,2006,2,NA,1
2553,2008,2,NA,1
2553,2010,4,1,NA
2554,2004,2,NA,1
2554,2006,1,1,0
2554,2008,1,1,NA
2554,2010,1,1,NA
2555,2004,1,NA,1
2555,2006,1,1,NA
2555,2008,1,1,NA
2555,2010,1,1,NA
2556,2004,3,0,0
2556,2006,3,NA,0
2556,2008,1,0,0
2556,2010,1,NA,NA
2557,2004,NA,NA,NA
2557,2006,NA,NA,NA
2557,2008,1,NA,1
2557,2010,1,1,0
2558,2004,4,0,0
2558,2006,4,0,NA
2558,2008,4,0,NA
2558,2010,4,0,0
2559,2004,2,0,0
2559,2006,2,0,NA
2559,2008,2,0,NA
2559,2010,3,0,NA
2560,2004,1,NA,1
2560,2006,1,NA,1
2560,2008,1,NA,1
2560,2010,1,1,NA
2561,2004,1,NA,1
2561,2006,3,1,0
2561,2008,2,NA,1
2561,2010,3,NA,1
2562,2004,2,NA,1
2562,2006,2,1,0
2562,2008,2,NA,1
2562,2010,3,0,0
2563,2004,1,NA,1
2563,2006,2,NA,1
2563,2008,3,NA,1
2563,2010,3,NA,1
2564,2004,2,NA,1
2564,2006,1,1,0
2564,2008,2,NA,1
2564,2010,2,NA,1
2565,2004,4,0,0
2565,2006,3,0,0
2565,2008,4,0,0
2565,2010,4,0,0
2566,2004,2,NA,1
2566,2006,3,NA,1
2566,2008,2,1,NA
2566,2010,4,1,NA
2567,2004,3,NA,1
2567,2006,NA,NA,NA
2567,2008,3,NA,1
2567,2010,4,1,NA
2568,2004,1,NA,1
2568,2006,2,1,0
2568,2008,2,NA,1
2568,2010,4,NA,1
2569,2004,4,1,0
2569,2006,4,NA,1
2569,2008,3,1,0
2569,2010,4,NA,1
2570,2004,1,NA,1
2570,2006,1,NA,1
2570,2008,1,NA,1
2570,2010,2,NA,1
2571,2004,4,0,0
2571,2006,4,0,0
2571,2008,3,0,0
2571,2010,4,0,0
2572,2004,2,NA,1
2572,2006,1,NA,1
2572,2008,1,NA,1
2572,2010,2,1,NA
2573,2004,2,NA,1
2573,2006,2,NA,1
2573,2008,1,NA,1
2573,2010,2,1,0
2574,2004,2,NA,1
2574,2006,3,0,0
2574,2008,2,NA,1
2574,2010,2,NA,1
2575,2004,NA,NA,NA
2575,2006,NA,NA,NA
2575,2008,NA,NA,NA
2575,2010,NA,NA,NA
2576,2004,2,NA,1
2576,2006,1,1,0
2576,2008,2,NA,1
2576,2010,2,NA,1
2577,2004,2,NA,1
2577,2006,2,NA,1
2577,2008,2,NA,1
2577,2010,4,0,0
2578,2004,2,NA,1
2578,2006,2,NA,1
2578,2008,3,NA,1
2578,2010,4,NA,1
2579,2004,3,NA,1
2579,2006,3,NA,1
2579,2008,3,0,0
2579,2010,4,0,0
2580,2004,2,NA,1
2580,2006,2,NA,1
2580,2008,2,NA,1
2580,2010,2,NA,1
2581,2004,1,1,0
2581,2006,3,0,0
2581,2008,2,NA,1
2581,2010,3,1,0
2582,2004,2,0,0
2582,2006,1,NA,0
2582,2008,3,NA,0
2582,2010,2,0,0
2583,2004,4,0,0
2583,2006,4,0,NA
2583,2008,4,1,NA
2583,2010,4,1,0
2584,2004,NA,NA,NA
2584,2006,NA,NA,NA
2584,2008,NA,NA,NA
2584,2010,NA,NA,NA
2585,2004,NA,NA,NA
2585,2006,NA,NA,NA
2585,2008,NA,NA,NA
2585,2010,NA,NA,NA
2586,2004,2,NA,1
2586,2006,1,1,0
2586,2008,2,NA,1
2586,2010,3,NA,0
2587,2004,3,1,0
2587,2006,3,0,0
2587,2008,3,1,0
2587,2010,4,0,0
2588,2004,2,NA,1
2588,2006,NA,NA,NA
2588,2008,1,NA,1
2588,2010,1,0,0
2589,2004,1,NA,1
2589,2006,1,0,0
2589,2008,1,NA,1
2589,2010,1,1,0
2590,2004,1,NA,1
2590,2006,1,NA,1
2590,2008,1,1,0
2590,2010,1,NA,1
2591,2004,1,1,NA
2591,2006,1,NA,1
2591,2008,2,NA,1
2591,2010,4,NA,1
2592,2004,4,0,0
2592,2006,4,0,0
2592,2008,4,NA,0
2592,2010,4,0,0
2593,2004,1,NA,1
2593,2006,2,1,0
2593,2008,2,NA,1
2593,2010,3,1,0
2594,2004,3,NA,1
2594,2006,3,NA,1
2594,2008,3,0,NA
2594,2010,4,NA,1
2595,2004,3,NA,1
2595,2006,3,1,0
2595,2008,3,1,NA
2595,2010,4,NA,1
2596,2004,4,NA,1
2596,2006,2,NA,1
2596,2008,2,1,NA
2596,2010,2,NA,1
2597,2004,3,1,0
2597,2006,4,1,0
2597,2008,3,1,0
2597,2010,4,NA,1
2598,2004,4,0,0
2598,2006,4,0,0
2598,2008,3,0,0
2598,2010,3,NA,0
2599,2004,NA,NA,NA
2599,2006,2,1,0
2599,2008,NA,NA,NA
2599,2010,NA,NA,NA
2600,2004,1,1,0
2600,2006,2,NA,1
2600,2008,1,NA,1
2600,2010,3,NA,1
2601,2004,3,0,0
2601,2006,4,0,0
2601,2008,4,0,0
2601,2010,3,0,0
2602,2004,NA,NA,NA
2602,2006,NA,NA,NA
2602,2008,NA,NA,NA
2602,2010,NA,NA,NA
2603,2004,NA,NA,NA
2603,2006,NA,NA,NA
2603,2008,1,0,0
2603,2010,1,0,0
2604,2004,3,0,0
2604,2006,4,0,0
2604,2008,3,0,NA
2604,2010,4,NA,1
2605,2004,4,0,0
2605,2006,4,0,0
2605,2008,4,0,0
2605,2010,4,0,0
2606,2004,4,0,0
2606,2006,4,NA,0
2606,2008,3,0,0
2606,2010,4,0,NA
2607,2004,NA,NA,NA
2607,2006,NA,NA,NA
2607,2008,NA,NA,NA
2607,2010,NA,NA,NA
2608,2004,2,NA,1
2608,2006,2,0,0
2608,2008,2,NA,1
2608,2010,4,0,0
2609,2004,4,0,0
2609,2006,4,0,0
2609,2008,4,0,0
2609,2010,4,0,0
2610,2004,4,NA,1
2610,2006,3,1,0
2610,2008,NA,NA,NA
2610,2010,NA,NA,NA
2611,2004,2,NA,1
2611,2006,1,0,0
2611,2008,2,1,0
2611,2010,4,0,0
2612,2004,1,NA,1
2612,2006,1,0,0
2612,2008,2,NA,1
2612,2010,2,NA,1
2613,2004,1,NA,1
2613,2006,1,1,0
2613,2008,1,NA,1
2613,2010,1,NA,1
2614,2004,2,0,0
2614,2006,1,0,0
2614,2008,1,NA,1
2614,2010,2,1,NA
2615,2004,2,NA,1
2615,2006,1,NA,1
2615,2008,2,1,NA
2615,2010,1,1,0
2616,2004,1,NA,1
2616,2006,2,NA,1
2616,2008,1,NA,1
2616,2010,2,NA,1
